Common Name,Scientific Name,Museum Counts,Citizen Science Counts
NoCommonName,Cameraria caryaefoliella,NaN,1
NoCommonName,Cameraria castaneaeella,NaN,2
NoCommonName,Cameraria cincinnatiella,NaN,1
NoCommonName,Cameraria guttifinitella,NaN,1
NoCommonName,Cameraria hamadryadella,NaN,1
NoCommonName,Cameraria quercivorella,NaN,2
NoCommonName,Cameraria saccharella,NaN,1
NoCommonName,Cameraria ulmella,NaN,2
NoCommonName,Cameraria unidentified species,NaN,1
NoCommonName,Canarsia ulmiarrosorella,0,4
NoCommonName,Capsula oblonga,NaN,2
NoCommonName,Caripeta aretaria,0,7
NoCommonName,Caripeta divisata,0,1
NoCommonName,Cyclophora myrtaria,NaN,3
NoCommonName,Carmenta bassiformis,NaN,4
NoCommonName,Carmenta pyralidiformis,NaN,1
NoCommonName,Catocala amatrix,9,7
NoCommonName,Catocala amestris,NaN,1
NoCommonName,Catocala amica,4,12
NoCommonName,Catocala andromedae,0,11
NoCommonName,Catocala angusi,8,8
NoCommonName,Catocala blandula,0,2
NoCommonName,Eulithis gracilineata,0,39
NoCommonName,Catocala cara,1,6
NoCommonName,Catocala carissima,2,3
NoCommonName,Rheumaptera prunivorata,0,5
NoCommonName,Catocala clintonii,3,4
NoCommonName,Catocala coccinata,0,12
NoCommonName,Orthonama obstipata,1,69
NoCommonName,Costaconvexa centrostrigaria,NaN,101
NoCommonName,Catocala connubialis,2,9
NoCommonName,Catocala consors,NaN,1
NoCommonName,Catocala crataegi,1,1
NoCommonName,Catocala dejecta,2,11
NoCommonName,Catocala epione,0,21
NoCommonName,Catocala flebilis,7,15
NoCommonName,Catocala gracilis,0,6
NoCommonName,Catocala grynea,3,8
NoCommonName,Eupithecia jejunata,NaN,1
NoCommonName,Eupithecia fletcherata,NaN,3
NoCommonName,Eupithecia exudata,NaN,1
NoCommonName,Eupithecia matheri,NaN,1
NoCommonName,Catocala herodias,0,1
NoCommonName,Cladara anguilineata,NaN,4
NoCommonName,Catocala ilia,7,50
NoCommonName,Callizzia amorata,0,4
NoCommonName,Catocala illecta,NaN,2
NoCommonName,Catocala innubens,2,7
NoCommonName,Catocala insolabilis,2,4
NoCommonName,Catocala lacrymosa,16,26
NoCommonName,Catocala lincolnana,NaN,1
NoCommonName,Catocala lineella,0,2
NoCommonName,Catocala maestosa,3,4
NoCommonName,Catocala marmorata,1,5
NoCommonName,Catocala micronympha,3,18
NoCommonName,Catocala minuta,1,1
NoCommonName,Zanclognatha lituralis,0,15
NoCommonName,Ulolonche culea,NaN,30
NoCommonName,Catocala mira,NaN,1
NoCommonName,Catocala muliercula,0,8
NoCommonName,Citheronia regalis,6,48
NoCommonName,Dryocampa rubicunda,7,129
NoCommonName,Anisota stigma,6,20
NoCommonName,Catocala nebulosa,4,3
NoCommonName,Anisota virginiensis,2,32
NoCommonName,Hemileuca maia,0,17
NoCommonName,Catocala neogama,48,6
NoCommonName,Automeris io,16,60
NoCommonName,Antheraea polyphemus,5,66
NoCommonName,Actias luna,5,139
NoCommonName,Callosamia angulifera,10,47
