# bee data from Sandra Rehan
# New Hampshire
Genus_species,museum (1981-1998),field (2001-2016),total
Nomada_media,1,0,1
Nomada_ovata,6,6,12
Nomada_parva,0,1,1
Nomada_pygmaea,0,17,17
Nomada_sayi,0,3,3
Nomada_texana,0,2,2
Nomada_tiftonensis,0,4,4
Nomada_valida,0,5,5
Nomada_vicina,0,1,1
Nomada_vincta,0,1,1
Nomada_xanthura,0,1,1
Osmia_albiventris,1,17,18
Osmia_atriventris,1,41,42
Osmia_bucephala,3,85,88
Osmia_caerulescens,0,4,4
Osmia_collinsiae,0,16,16
Osmia_cornifrons,0,7,7
Osmia_distincta,0,17,17
Osmia_felti,0,1,1
Osmia_georgica,0,2,2
Osmia_inermis,0,10,10
Osmia_inspergens,0,10,10
Osmia_lignaria,3,13,16
Osmia_proxima,0,8,8
Osmia_pumila,4,158,162
Osmia_simillima,3,2,5
Osmia_taurus,0,1,1
Osmia_tersula,1,2,3
Osmia_virga,1,22,23
Perdita_boltoniae,0,3,3
Perdita_halictoides,1,0,1
Perdita_octomaculata,0,24,24
Pseudopanurgus_andrenoides,5,5,10
Pseudopanurgus_nebrascensis,0,12,12
Sphecodes_anntennariae,0,1,1
Sphecodes_aroniae,1,4,5
Sphecodes_atlantis,1,6,7
Sphecodes_autumnalis,2,12,14
Sphecodes_banksii,0,13,13
Sphecodes_brachycephalus,1,2,3
Sphecodes_carolinus,12,6,18
Sphecodes_clematidis,0,5,5
Sphecodes_confertus,0,3,3
Sphecodes_coronus,0,11,11
Sphecodes_cressonii,1,5,6
Sphecodes_davisii,1,10,11
Sphecodes_dichrous,0,16,16
Sphecodes_fattigi,0,1,1
Sphecodes_galerus,2,9,11
Sphecodes_heraclei,0,2,2
Sphecodes_illinoensis,1,12,13
Sphecodes_johnsonii,3,10,13
Sphecodes_levis,1,11,12
Sphecodes_mandibularis,4,23,27
Sphecodes_minor,0,9,9
Sphecodes_phosphorus,0,1,1
Sphecodes_pimpinellae,0,1,1
Sphecodes_prosphorus,2,8,10
Sphecodes_ranunculi,1,7,8
Sphecodes_solonis,4,3,7
Sphecodes_townesi,0,1,1
Sphecodes_wheeleri,0,1,1
Stelis_foederalis,0,1,1
Stelis_labiata,0,1,1
Stelis_lateralis,1,0,1
Triepeolus_donatus,5,1,6
Triepeolus_helianthi,0,1,1
Triepeolus_michiganensis,0,12,12
Triepeolus_obliteratus,0,16,16
Triepeolus_pectoralis,0,10,10
Xylocopa_virginica,0,70,70
