Common Name,Scientific Name,Museum Counts,Citizen Science Counts
NoCommonName,Callopistria floridensis,0,11
NoCommonName,Plagodis fervidaria,0,38
NoCommonName,Callopistria mollissima,0,8
NoCommonName,Callosamia promethea,0,9
NoCommonName,Callosamia securifera,8,1
NoCommonName,Caloptilia azaleella,0,4
NoCommonName,Caloptilia bimaculatella,0,4
NoCommonName,Caloptilia blandella,0,4
NoCommonName,Caloptilia cornusella,0,1
NoCommonName,Caloptilia hypericella,0,1
NoCommonName,Caloptilia ostryaeella,0,5
NoCommonName,Caloptilia packardella,0,1
NoCommonName,Caloptilia rhoifoliella,0,3
NoCommonName,Caloptilia sassafrasella,0,2
NoCommonName,Oneida lunulalis,2,17
NoCommonName,Caloptilia stigmatella,0,2
NoCommonName,Caloptilia superbifrontella,0,1
NoCommonName,Caloptilia triadicae,0,1
NoCommonName,Caloptilia unidentified species,0,2
NoCommonName,Caloptilia violacella,0,7
Brazilian Skipper,Calpodes Ethlius,0,156
Redbanded Hairstreak,Calycopis Cecrops,0,2935
NoCommonName,Cameraria aesculisella,0,1
NoCommonName,Cameraria bethunella,0,2
NoCommonName,Cameraria caryaefoliella,0,1
NoCommonName,Cameraria castaneaeella,0,2
NoCommonName,Cameraria cincinnatiella,0,1
NoCommonName,Cameraria guttifinitella,0,1
NoCommonName,Cameraria hamadryadella,0,1
NoCommonName,Cameraria quercivorella,0,2
NoCommonName,Cameraria saccharella,0,1
NoCommonName,Cameraria ulmella,0,2
NoCommonName,Cameraria unidentified species,0,1
NoCommonName,Canarsia ulmiarrosorella,0,4
NoCommonName,Capsula oblonga,0,2
NoCommonName,Caripeta aretaria,0,7
NoCommonName,Caripeta divisata,0,1
NoCommonName,Cyclophora myrtaria,0,3
NoCommonName,Carmenta bassiformis,0,4
NoCommonName,Carmenta pyralidiformis,0,1
NoCommonName,Catocala amatrix,9,7
NoCommonName,Catocala amestris,0,1
NoCommonName,Catocala amica,4,12
NoCommonName,Catocala andromedae,0,11
NoCommonName,Catocala angusi,8,8
NoCommonName,Catocala blandula,0,2
NoCommonName,Eulithis gracilineata,0,39
NoCommonName,Catocala cara,1,6
NoCommonName,Catocala carissima,2,3
NoCommonName,Rheumaptera prunivorata,0,5
NoCommonName,Catocala clintonii,3,4
NoCommonName,Catocala coccinata,0,12
NoCommonName,Orthonama obstipata,1,69
NoCommonName,Costaconvexa centrostrigaria,0,101
NoCommonName,Catocala connubialis,2,9
NoCommonName,Catocala consors,0,1
NoCommonName,Catocala crataegi,1,1
NoCommonName,Catocala dejecta,2,11
NoCommonName,Catocala epione,0,21
NoCommonName,Catocala flebilis,7,15
NoCommonName,Catocala gracilis,0,6
NoCommonName,Catocala grynea,3,8
NoCommonName,Eupithecia jejunata,0,1
NoCommonName,Eupithecia fletcherata,0,3
NoCommonName,Eupithecia exudata,0,1
NoCommonName,Eupithecia matheri,0,1
NoCommonName,Catocala herodias,0,1
NoCommonName,Cladara anguilineata,0,4
NoCommonName,Catocala ilia,7,50
NoCommonName,Callizzia amorata,0,4
NoCommonName,Catocala illecta,0,2
NoCommonName,Catocala innubens,2,7
NoCommonName,Catocala insolabilis,2,4
NoCommonName,Catocala lacrymosa,16,26
NoCommonName,Catocala lincolnana,0,1
NoCommonName,Catocala lineella,0,2
NoCommonName,Catocala maestosa,3,4
NoCommonName,Catocala marmorata,1,5
NoCommonName,Catocala micronympha,3,18
NoCommonName,Catocala minuta,1,1
NoCommonName,Zanclognatha lituralis,0,15
NoCommonName,Ulolonche culea,0,30
NoCommonName,Catocala mira,0,1
NoCommonName,Catocala muliercula,0,8
NoCommonName,Citheronia regalis,6,48
NoCommonName,Dryocampa rubicunda,7,129
NoCommonName,Anisota stigma,6,20
NoCommonName,Catocala nebulosa,4,3
NoCommonName,Anisota virginiensis,2,32
NoCommonName,Hemileuca maia,0,17
NoCommonName,Catocala neogama,48,6
NoCommonName,Automeris io,16,60
NoCommonName,Antheraea polyphemus,5,66
NoCommonName,Actias luna,5,139
NoCommonName,Callosamia angulifera,10,47
NoCommonName,Catocala obscura,0,6
NoCommonName,Catocala palaeogama,2,9
NoCommonName,Catocala piatrix,6,14
NoCommonName,Catocala praeclara,0,2
NoCommonName,Catocala pretiosa,1,2
NoCommonName,Catocala residua,4,11
NoCommonName,Apantesis phalerata,6,45
NoCommonName,Catocala retecta,0,7
NoCommonName,Catocala robinsonii,13,16
NoCommonName,Catocala sappho,0,1
NoCommonName,Catocala serena,0,1
NoCommonName,Paonias myops,2,17
NoCommonName,Catocala similis,1,4
NoCommonName,Amorpha juglandis,5,22
NoCommonName,Catocala sordida,0,3
NoCommonName,Catocala subnata,0,3
NoCommonName,Catocala ulalume,2,3
NoCommonName,Catocala ultronia,1,36
NoCommonName,Catocala umbrosa,8,5
NoCommonName,Catocala unidentified species,0,2
NoCommonName,Clostera inclusa,0,14
NoCommonName,Catocala unijuga,0,1
NoCommonName,Catocala vidua,9,37
